time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/clip_fraction,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/std,train/learning_rate,train/loss,train/clip_range,train/entropy_loss,train/n_updates,train/value_loss
241664,118,604,399,0.0564453125,0.006191956,-0.0014995336532592773,-0.001930635343887843,2.337437629699707,0.0003,-0.0114187216386199,0.2,-4.526827147603035,1170,1.3083812925719099e-10
243712,119,604,403,0.02490234375,0.0045670057,0.001576840877532959,-0.0004125810824916698,2.353872299194336,0.0003,0.004853222984820604,0.2,-4.537198978662491,1180,2.996128486618869e-09
245760,120,604,406,0.060498046875,0.0069417544,0.0023142099380493164,-0.0017876890837214888,2.338984966278076,0.0003,-0.0017478431109338999,0.2,-4.538754633069038,1190,1.445564235224601e-06
247808,121,604,410,0.034228515625,0.002752455,-0.001519918441772461,-0.0008801662756013684,2.371196985244751,0.0003,0.006942671723663807,0.2,-4.544327563047409,1200,3.305391095336222e-06
249856,122,603,413,0.052197265625,0.008150966,0.03665965795516968,-0.0011060769829782657,2.3703737258911133,0.0003,0.004276113584637642,0.2,-4.552404792606831,1210,2.9493797388257794e-10
251904,123,604,416,0.08427734375,0.0067501627,0.05004763603210449,-0.004189659035182558,2.376720666885376,0.0003,-0.0035838093608617783,0.2,-4.556158104538918,1220,8.6076168837405e-10
253952,124,604,420,0.04853515625,0.0068358257,0.01043856143951416,-0.0013513479215362168,2.4052486419677734,0.0003,0.00506024993956089,0.2,-4.570647864043712,1230,2.754965112676401e-06
256000,125,604,423,0.028125,0.004820983,-0.031241416931152344,-0.0011216048322239657,2.400104522705078,0.0003,0.015536881983280182,0.2,-4.5810624524950985,1240,1.7141435824313694e-13
258048,126,604,426,0.012060546875,0.0023948986,-0.020106077194213867,-0.00034280758336535655,2.4212121963500977,0.0003,-0.0069457367062568665,0.2,-4.589080786705017,1250,6.398420003553042e-12
260096,127,604,430,0.001416015625,0.0006967198,-0.03800547122955322,2.470769686624408e-08,2.4519355297088623,0.0003,-0.001190144568681717,0.2,-4.6126788184046745,1260,8.50944325118853e-07
262144,128,604,433,0.0099609375,0.004539569,0.10599905252456665,-0.00027626904848148114,2.447065830230713,0.0003,0.010137615725398064,0.2,-4.621329140663147,1270,1.6833361697905428e-05
264192,129,604,436,0.101025390625,0.0071430183,0.0023114681243896484,-0.0027772087836638094,2.450087547302246,0.0003,-0.024538151919841766,0.2,-4.619463866949081,1280,2.3027638260696202e-07
266240,130,604,440,0.007080078125,0.0016959461,0.0009859800338745117,-0.0001680305751506239,2.4868454933166504,0.0003,-0.0010116863995790482,0.2,-4.637084953486919,1290,2.734519599859793e-10
268288,131,604,443,0.10703125,0.008480152,-0.00426638126373291,-0.002235706741339527,2.4898226261138916,0.0003,-0.007904388941824436,0.2,-4.656755842268467,1300,3.1317821832726325e-10
270336,132,604,447,0.056982421875,0.0050842213,-0.0011152029037475586,-0.001775871626159642,2.5060648918151855,0.0003,-0.0029246509075164795,0.2,-4.66452242732048,1310,1.807337540499839e-10
272384,133,604,450,0.053076171875,0.005546185,0.00022774934768676758,-0.0017709442829072942,2.5126090049743652,0.0003,0.019828548654913902,0.2,-4.671844987571239,1320,6.96023803043439e-10
274432,134,604,453,0.03818359375,0.007565568,0.005729377269744873,-0.0012088989911717362,2.5398964881896973,0.0003,0.01658233441412449,0.2,-4.686288967728615,1330,8.909277317300517e-10
276480,135,605,456,0.055126953125,0.0063941916,0.009056925773620605,-0.0022705479597789234,2.554107427597046,0.0003,0.010829698294401169,0.2,-4.699667929112911,1340,2.3669017709842985e-06
278528,136,604,460,0.021826171875,0.0037220079,-0.009764909744262695,-0.0003501926563330926,2.5409059524536133,0.0003,-0.006073193624615669,0.2,-4.699264416098595,1350,4.4141444256078994e-10
280576,137,604,463,0.00751953125,0.0034764765,-0.003117799758911133,0.0004351114184828475,2.5739240646362305,0.0003,-0.0014294255524873734,0.2,-4.705112288892269,1360,3.9544494297676e-06
